Season,Player,team,Minutes,Pos,Offensive Archetype,WAR,LEBRON,O-LEBRON,D-LEBRON,year,Defensive Role,NBA ID,bref_id,Games,Age
2009-10,lebron james,CLE,2966.0,SF,Shot Creator,20.57,8.84,7.31,1.53,2010,,2544.0,jamesle01,76.0,25.0
2009-10,rodrigue beaubois,DAL,700.0,PG,Primary Ball Handler,0.64,-0.93,0.09,-1.03,2010,,201958.0,beaubro01,56.0,21.0
2009-10,david andersen,HOU,891.0,C,Post Scorer,0.8,-0.95,-0.97,0.02,2010,,2431.0,anderda03,63.0,29.0
2009-10,eric gordon,LAC,2229.0,SG,Secondary Ball Handler,2.01,-0.95,1.14,-2.09,2010,,201569.0,gordoer01,62.0,21.0
2009-10,michael beasley,MIA,2328.0,PF,Athletic Finisher,2.03,-0.99,-0.99,0.0,2010,,201563.0,beaslmi01,78.0,21.0
2009-10,marcus haislip,SAS,44.0,SF,Low Minute,0.04,-1.0,-0.76,-0.24,2010,,2409.0,haislma01,10.0,29.0
2009-10,andray blatche,WAS,2256.0,PF,Post Scorer,1.96,-1.0,-1.02,0.02,2010,,101154.0,blatcan01,81.0,23.0
2009-10,rodney carney,PHI,857.0,SG,Stationary Shooter,0.74,-1.0,-0.68,-0.32,2010,,200760.0,carnero01,68.0,25.0
2009-10,jeff foster,IND,255.0,C,Athletic Finisher,0.22,-1.01,-1.24,0.23,2010,,1902.0,fosteje01,16.0,33.0
2009-10,michael redd,MIL,492.0,SG,Secondary Ball Handler,0.42,-1.03,-0.5,-0.53,2010,,2072.0,reddmi01,18.0,30.0
2009-10,bobby simmons,NJN,395.0,PF,Stationary Shooter,0.33,-1.03,-1.11,0.09,2010,,2250.0,simmobo01,23.0,29.0
2009-10,andrea bargnani,TOR,2799.0,PF,Post Scorer,2.38,-1.03,0.79,-1.82,2010,,200745.0,bargnan01,80.0,24.0
2009-10,alonzo gee,WAS,182.0,SG,Low Minute,0.15,-1.05,-0.78,-0.27,2010,,202087.0,geeal01,11.0,22.0
2009-10,corey maggette,GSW,2081.0,PF,Shot Creator,1.72,-1.06,1.38,-2.44,2010,,1894.0,maggeco01,70.0,30.0
2009-10,josh boone,NJN,1045.0,PF,Roll + Cut Big,0.86,-1.06,-2.1,1.04,2010,,200767.0,boonejo01,63.0,25.0
2009-10,brian cook,HOU,44.0,PF,Low Minute,0.04,-1.07,-0.76,-0.31,2010,,2567.0,cookbr01,15.0,29.0
2009-10,yi jianlian,NJN,1655.0,PF,Movement Shooter,1.34,-1.08,-1.59,0.5,2010,,201146.0,jianlyi01,52.0,22.0
2009-10,antonio anderson,OKC,15.0,SF,Low Minute,0.01,-1.08,-0.31,-0.77,2010,,202079.0,anderan02,1.0,24.0
2009-10,brandon bass,ORL,648.0,PF,Post Scorer,0.6,-0.9,-0.32,-0.58,2010,,101138.0,bassbr01,50.0,24.0
2009-10,jamaal tinsley,MEM,589.0,PG,Shot Creator,0.55,-0.9,-0.81,-0.09,2010,,2224.0,tinslja01,38.0,31.0
2009-10,jon brockman,SAC,654.0,PF,Athletic Finisher,0.61,-0.89,-0.53,-0.37,2010,,201972.0,brockjo01,52.0,22.0
2009-10,sean marks,NOH,75.0,C,Low Minute,0.07,-0.89,-0.83,-0.06,2010,,1752.0,marksse01,14.0,34.0
2009-10,brian cardinal,MIN,267.0,PF,Movement Shooter,0.28,-0.74,-1.28,0.54,2010,,2073.0,cardibr01,29.0,32.0
2009-10,brook lopez,NJN,3027.0,C,Post Scorer,3.15,-0.74,-0.48,-0.27,2010,,201572.0,lopezbr01,82.0,21.0
2009-10,jason maxiell,DET,1550.0,C,Post Scorer,1.6,-0.76,-0.37,-0.38,2010,,101131.0,maxieja01,76.0,26.0
2009-10,craig smith,LAC,1232.0,PF,Post Scorer,1.27,-0.76,-0.69,-0.07,2010,,200783.0,smithcr01,75.0,26.0
2009-10,richard hamilton,DET,1552.0,SG,Off Screen Shooter,1.58,-0.77,1.01,-1.79,2010,,1888.0,hamilri01,46.0,31.0
2009-10,marcus banks,TOR,244.0,PG,Shot Creator,0.25,-0.77,-0.68,-0.08,2010,,2556.0,banksma01,22.0,28.0
2009-10,wilson chandler,NYK,2320.0,SG,Athletic Finisher,2.37,-0.77,-0.58,-0.19,2010,,201163.0,chandwi01,65.0,22.0
2009-10,mike miller,WAS,1805.0,SG,Athletic Finisher,1.84,-0.78,0.53,-1.3,2010,,2034.0,millemi01,54.0,29.0
2009-10,anthony johnson,ORL,406.0,PG,Primary Ball Handler,0.33,-1.09,-0.48,-0.61,2010,,1533.0,johnsan02,31.0,35.0
2009-10,ryan bowen,OKC,8.0,SF,Low Minute,0.01,-0.8,-0.09,-0.71,2010,,1763.0,bowenry01,1.0,34.0
2009-10,taj gibson,CHI,2204.0,PF,Post Scorer,2.16,-0.83,-1.82,0.99,2010,,201959.0,gibsota01,82.0,24.0
2009-10,kenny thomas,SAC,313.0,PF,Athletic Finisher,0.31,-0.84,-1.48,0.65,2010,,1903.0,thomake01,26.0,32.0
2009-10,kenyon martin,DEN,1986.0,PF,Athletic Finisher,1.93,-0.84,-2.15,1.31,2010,,2030.0,martike01,58.0,32.0
2009-10,jason thompson,SAC,2357.0,C,Post Scorer,2.29,-0.85,-1.43,0.58,2010,,201574.0,thompja02,75.0,23.0
2009-10,leandro barbosa,PHO,786.0,PG,Secondary Ball Handler,0.75,-0.86,0.32,-1.18,2010,,2571.0,barbole01,44.0,27.0
2009-10,desagana diop,CHA,262.0,C,Athletic Finisher,0.25,-0.87,-1.44,0.57,2010,,2205.0,diopde01,27.0,28.0
2009-10,ramon sessions,MIN,1732.0,PG,Primary Ball Handler,1.64,-0.88,-0.33,-0.55,2010,,201196.0,sessira01,82.0,23.0
2009-10,gerald henderson,CHA,355.0,SG,Athletic Finisher,0.34,-0.88,-1.21,0.34,2010,,201945.0,hendege02,43.0,22.0
2009-10,chris quinn,NJN,223.0,PG,Secondary Ball Handler,0.22,-0.82,-0.08,-0.74,2010,,200809.0,quinnch01,25.0,26.0
2009-10,charlie bell,MIL,1611.0,SG,Stationary Shooter,1.29,-1.09,-1.41,0.32,2010,,2294.0,bellch01,71.0,30.0
